Year,City,Province,Registered_Voters,Votes_Cast,Turnout_Percent,High_Turnout
1988,Gujrat,Punjab,1447361.0,312565.0,21.59551072607318,0
1988,Hyderabad,Sindh,925082.0,318419.0,34.42062433384284,0
1988,Islamabad,Punjab,186306.0,39994.0,21.466834133092867,0
1988,Jacobabad,Sindh,555797.0,101754.0,18.307763446006366,0
1988,Jaffarabad,Balochistan,223164.0,50854.0,22.78772561882741,0
1988,Jhang,Punjab,976538.0,224039.0,22.942169173140215,0
1988,Jhelum,Punjab,424037.0,91296.0,21.530196657367163,0
1988,Kachhi,Balochistan,217516.0,21625.0,9.941797385019953,0
1988,Kalat,Balochistan,247407.0,19356.0,7.823545817216167,0
1988,Karachi City,Sindh,2947967.0,880257.0,29.85979829489272,0
1988,Karak,KPK,162672.0,26411.0,16.235738172518936,0
1988,Kasur,Punjab,870673.0,213580.0,24.530449433943627,0
1988,Kech,Balochistan,171311.0,16094.0,9.394609803223378,0
1988,Khairpur,Sindh,566370.0,175470.0,30.981513851369247,0
1988,Khanewal,Punjab,488306.0,104076.0,21.3136844519625,0
1988,Khushab,Punjab,243262.0,56750.0,23.328756649209495,0
1988,Khuzdar,Balochistan,170265.0,15206.0,8.930784365547822,0
1988,Kohat,KPK,316611.0,30554.0,9.650328005028253,0
1988,Kohistan,KPK,146332.0,5525.0,3.7756608260667526,0
1988,Lahore,Punjab,1924498.0,437915.0,22.754765138753065,0
1988,Larkana,Sindh,651886.0,228689.0,35.08113381787613,0
1988,Las Bela,Balochistan,160183.0,17423.0,10.87693450615858,0
1988,Layyah,Punjab,414535.0,74469.0,17.964466209125888,0
1988,Loralai,Balochistan,154840.0,11484.0,7.416688194265047,0
1988,Malakand,KPK,260373.0,39174.0,15.045338802410388,0
1988,Mansehra,KPK,519871.0,66525.0,12.79644373315688,0
1988,Mardan,KPK,469516.0,69633.0,14.830804488025967,0
1988,Mianwali,Punjab,451454.0,87546.0,19.392008931142488,0
1988,Multan,Punjab,1735160.0,331430.0,19.1008321999124,0
1988,Muzaffargarh,Punjab,895613.0,185521.0,20.714415713036768,0
